"sample_name","sample_label","Locus","site","sample_type","file1"
"1","SS18-059-a","Leray","Dungeness Spit","whole crab","Locus_Leray_SS18-059-a_S1_L001_R1_001.fastq.fastq"
"2","SS18-059-b","Leray","Dungeness Spit","whole crab","Locus_Leray_SS18-059-b_S2_L001_R1_001.fastq.fastq"
"3","SS18-059-c","Leray","Dungeness Spit","whole crab","Locus_Leray_SS18-059-c_S3_L001_R1_001.fastq.fastq"
"4","SS19-064-a","Leray","Dungeness Spit","whole crab","Locus_Leray_SS19-064-a_S4_L001_R1_001.fastq.fastq"
"5","SS19-064-b","Leray","Dungeness Spit","whole crab","Locus_Leray_SS19-064-b_S5_L001_R1_001.fastq.fastq"
"6","SS19-064-c","Leray","Dungeness Spit","whole crab","Locus_Leray_SS19-064-c_S6_L001_R1_001.fastq.fastq"
"7","SS19-065-a","Leray","Dungeness Spit","whole crab","Locus_Leray_SS19-065-a_S7_L001_R1_001.fastq.fastq"
"8","SS19-065-b","Leray","Dungeness Spit","whole crab","Locus_Leray_SS19-065-b_S8_L001_R1_001.fastq.fastq"
"10","SS20-333-a","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-333-a_S10_L001_R1_001.fastq.fastq"
"11","SS20-333-b","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-333-b_S11_L001_R1_001.fastq.fastq"
"12","SS20-333-c","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-333-c_S12_L001_R1_001.fastq.fastq"
"13","SS19-087-a","Leray","Dungeness Spit","whole crab","Locus_Leray_SS19-087-a_S13_L001_R1_001.fastq.fastq"
"14","SS19-087-b","Leray","Dungeness Spit","whole crab","Locus_Leray_SS19-087-b_S14_L001_R1_001.fastq.fastq"
"15","SS19-087-c","Leray","Dungeness Spit","whole crab","Locus_Leray_SS19-087-c_S15_L001_R1_001.fastq.fastq"
"16","SS20-332-a","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-332-a_S16_L001_R1_001.fastq.fastq"
"17","SS20-332-b","Leray","Drayton Harbor","whole crab","Locus_Leray_SS20-332-b_S17_L001_R1_001.fastq.fastq"
