"","sample_id","sample","tech","site","sample_type","Hash","nReads","reason","rank","taxon"
"1","SS18-059-a","SS18-059",1,"Dungeness Spit","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",46819,"predator DNA","species","Carcinus maenas"
"2","SS18-059-a","SS18-059",1,"Dungeness Spit","whole crab","d21f2675ef2ef67dd92b1c5da1e1d7ceab52e8da",127,"missing",NA,NA
"3","SS18-059-a","SS18-059",1,"Dungeness Spit","whole crab","ad7c17f622104dcaa57c76757dac23063387c073",8,"predator DNA","species","Carcinus maenas"
"4","SS18-059-a","SS18-059",1,"Dungeness Spit","whole crab","f80c71e33339c6a16bcce1ad39d1f7b6e83419b2",19,"missing",NA,NA
"5","SS18-059-a","SS18-059",1,"Dungeness Spit","whole crab","8b73d5c07d4c821c2923ac061e2d36294c9e40fd",170,"predator DNA","species","Carcinus maenas"
"6","SS18-059-a","SS18-059",1,"Dungeness Spit","whole crab","dd39321bcb93467e907816e5139b76f32d9143f1",9,"predator DNA","species","Carcinus maenas"
"7","SS18-059-a","SS18-059",1,"Dungeness Spit","whole crab","028bff6f7fbcf62ca2c60d52f2a20fc0b507ca26",64,"non-target DNA","class","Sordariomycetes"
"8","SS18-059-a","SS18-059",1,"Dungeness Spit","whole crab","13a4c8c20eaab7ae0cab26ff46b2ab39a4f40a5a",45,"predator DNA","species","Carcinus maenas"
"9","SS18-059-a","SS18-059",1,"Dungeness Spit","whole crab","71925db1484cbc7f06cf8024a60a1bd3201632f3",34,"non-target DNA","species","Monosiga brevicollis"
"10","SS18-059-a","SS18-059",1,"Dungeness Spit","whole crab","850ab1e4fcb1124727a4820b5c18ca6edb1e1452",11,"non-target DNA","phylum","Oomycota"
"11","SS18-059-a","SS18-059",1,"Dungeness Spit","whole crab","a202210af4102bfb37ce9d4e2d600dd6eb3205fa",2,"missing",NA,NA
"12","SS18-059-b","SS18-059",2,"Dungeness Spit","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",56145,"predator DNA","species","Carcinus maenas"
"13","SS18-059-b","SS18-059",2,"Dungeness Spit","whole crab","dd39321bcb93467e907816e5139b76f32d9143f1",18,"predator DNA","species","Carcinus maenas"
"14","SS18-059-b","SS18-059",2,"Dungeness Spit","whole crab","d9e0831ec5998024b10711f1dc8b27e34bb85840",28,"predator DNA","species","Carcinus maenas"
"15","SS18-059-b","SS18-059",2,"Dungeness Spit","whole crab","cba70e7544343882c0e191bcd82d37b04b77727d",12,"missing",NA,NA
"16","SS18-059-b","SS18-059",2,"Dungeness Spit","whole crab","c7c2251e60f66ec48319f60b2c1b7ec3f5072d5c",4,"missing",NA,NA
"17","SS18-059-c","SS18-059",3,"Dungeness Spit","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",42664,"predator DNA","species","Carcinus maenas"
"18","SS18-059-c","SS18-059",3,"Dungeness Spit","whole crab","88808c212aba563b539504c1d48c871cf7faa9bd",23,"predator DNA","species","Carcinus maenas"
"19","SS18-059-c","SS18-059",3,"Dungeness Spit","whole crab","66baf62fa9d82254a050652e2c3e4147b20cef31",29,"predator DNA","species","Carcinus maenas"
"20","SS18-059-c","SS18-059",3,"Dungeness Spit","whole crab","f80c71e33339c6a16bcce1ad39d1f7b6e83419b2",13,"missing",NA,NA
"21","SS18-059-c","SS18-059",3,"Dungeness Spit","whole crab","dd39321bcb93467e907816e5139b76f32d9143f1",11,"predator DNA","species","Carcinus maenas"
"22","SS18-059-c","SS18-059",3,"Dungeness Spit","whole crab","93b1a402f944324962d7a939035eb04753ead8b7",10,"in control","species","Homo sapiens"
