Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
1,Leray,69311,47322,47310,47314,47308,47308,47308
2,Leray,82038,56539,56407,56528,56207,56207,56207
3,Leray,61942,42787,42773,42785,42768,42768,42768
4,Leray,8512,2955,2951,2952,2951,2951,2951
5,Leray,34080,21639,21574,21631,21565,21565,21558
6,Leray,59971,39462,39445,39445,39277,39277,39239
7,Leray,50120,32785,32777,32770,32508,32508,32489
8,Leray,14111,7343,7331,7274,7100,7100,7100
10,Leray,116882,80448,80267,80437,80130,80130,80130
11,Leray,76808,52938,52932,52932,52920,52920,52920
12,Leray,80803,55470,55460,55465,55341,55341,55341
13,Leray,87339,59316,59288,59295,59219,59219,59219
14,Leray,69827,47387,47325,47363,47029,47029,47029
15,Leray,73171,49340,49288,49322,49215,49215,49215
16,Leray,97534,66974,66963,66893,66618,66618,66602
17,Leray,111933,77763,77679,77759,77231,77231,77231
18,Leray,108504,75288,75278,74971,74781,74781,74781
19,Leray,13022,8856,8838,8845,8837,8837,8837
20,Leray,69214,47060,28196,28192,28177,28177,28177
21,Leray,40649,28209,28196,28192,28177,28177,28177
22,Leray,111222,77151,77144,76960,76666,76666,76666
23,Leray,87602,60239,60230,60237,59353,59353,59285
24,Leray,42166,27111,27009,26918,26613,26613,26613
25,Leray,71645,49528,49511,49523,49496,49496,49496
26,Leray,32996,22568,22563,22560,22553,22553,22553
27,Leray,61907,42494,42480,42480,42391,42391,42391
28,Leray,55417,38430,38421,38429,38420,38420,38420
29,Leray,49820,34507,34504,34506,34504,34504,34504
30,Leray,43148,29734,29733,29731,29731,29731,29731
31,Leray,30592,20389,20368,20384,20367,20367,20367
32,Leray,31529,20875,20857,20873,20856,20856,20856
33,Leray,47497,32785,32777,32781,32777,32777,32777
34,Leray,48813,33177,33163,33174,33145,33145,33145
35,Leray,53710,37389,37386,37385,37382,37382,37382
36,Leray,47803,32951,32945,32947,32938,32938,32938
37,Leray,45791,31931,31927,31922,31920,31920,31920
38,Leray,29175,20076,20074,20072,20068,20068,20068
39,Leray,48341,33514,33504,33504,33486,33486,33486
40,Leray,8594,5973,5971,5972,5967,5967,5967
41,Leray,4908,3432,3428,3431,3428,3428,3428
42,Leray,6559,4541,4540,4541,4540,4540,4540
43,Leray,40336,27507,27500,27499,27498,27498,27498
44,Leray,36270,24705,24703,24702,24700,24700,24700
45,Leray,23905,16521,16502,16510,16500,16500,16500
46,Leray,53748,37045,37038,37041,37036,37036,37036
47,Leray,53502,36984,36979,36976,36974,36974,36974
48,Leray,71555,49790,49782,49785,49737,49737,49737
49,Leray,14128,8498,8488,8472,8468,8468,8468
50,Leray,12234,7528,7509,7519,7434,7434,7434
51,Leray,19150,12405,12397,12398,12389,12389,12389
52,Leray,75203,51595,51442,51554,51253,51253,51253
53,Leray,53831,36889,36846,36846,36762,36762,36721
54,Leray,50435,34299,34256,34250,34194,34194,34194
55,Leray,3932,778,655,742,4,4,4
56,Leray,5702,396,255,370,41,41,41
57,Leray,3788,430,212,413,0,0,0
58,Leray,32304,22222,22217,22222,22180,22180,22180
59,Leray,37616,25974,25962,25958,25918,25918,25918
60,Leray,54443,37522,37502,37514,37463,37463,37463
61,Leray,7660,5306,5303,5300,5257,5257,5257
62,Leray,19160,12968,12964,12966,12909,12909,12909
63,Leray,32340,21809,21791,21809,21737,21737,21737
64,Leray,13174,9126,9120,9117,9113,9113,9113
65,Leray,2388,1631,1623,1625,1622,1622,1622
66,Leray,6225,4361,4357,4357,4344,4344,4344
67,Leray,43950,30061,30050,30036,30020,30020,30020
68,Leray,21719,13730,13723,13726,13723,13723,13723
69,Leray,10880,7386,7376,7382,7372,7372,7372
70,Leray,11830,8137,8119,8131,8027,8027,7979
71,Leray,23711,16449,16442,16428,16211,16211,16047
72,Leray,38916,26742,26706,26710,26410,26410,26051
73,Leray,48669,33030,33014,33017,32992,32992,32876
74,Leray,70716,48256,48238,48240,48211,48211,47888
75,Leray,59217,40527,40385,40449,40285,40285,40093
76,Leray,43378,29558,29557,29557,29479,29479,29478
77,Leray,64562,44186,44176,43943,43080,43080,43078
78,Leray,87349,60233,60227,60233,58808,58808,58803
79,Leray,68024,46734,46706,46721,46688,46688,46688
80,Leray,40743,27924,27915,27921,27839,27839,27839
81,Leray,41713,28627,28623,28622,28615,28615,28615
82,Leray,42600,29539,29470,29527,28966,28966,27537
83,Leray,33416,23040,23012,23033,22594,22594,21578
84,Leray,62269,42820,42776,42803,41963,41963,39443
89,Leray,51663,35250,35103,35240,34501,34501,34501
91,Leray,36440,24845,24710,24839,24704,24704,24704
95,Leray,17245,11106,11078,11091,10925,10925,10481
96,Leray,171,17,12,7,7,7,7
